Event Index,numero3,FC_ent,Slope_BF_ent,Intercept_BF_ent,First Value_BF_ent,FC_value_ent,Slope_HF_ent,Intercept_HF_ent,Last Value_HF_ent,type,volume,length,height
27,27,6.880860107513439,-0.0176649533766584,-0.2780955387267046,0.6907387422027761,0.6353952462320109,0.047896265574383,-0.3785402858485582,0.708792242816766,rock avalanche,600000.0,2700.0,1380.0
28,28,6.7758469808726085,-0.0004992860311962,-0.3203686277217091,0.7138893394565211,0.5724403916084124,0.0049728106280269,-0.3374255050681232,0.692034866910439,rock avalanche,9000000.0,5500.0,1100.0
32,32,7.670958869858732,0.007033155155966,-0.8192490469762058,0.451666301424313,0.3438590625763696,-0.0087595477523866,-0.8022172775047794,0.4668368095333204,rock and ice avalanche,530000.0,1790.0,590.0
36,36,4.690586323290411,-0.0399038262941815,-0.6516048768189824,0.5385765041655537,0.5637112627349102,0.1502796363946676,-0.9505544574946668,0.6015127680371871,rock and ice avalanche,50000000.0,9000.0,2430.0
37,37,4.790598824853107,0.0035397299153293,-0.9674334498692392,0.4104429444005529,0.4627925378538632,0.0308077847570379,-0.981677016353934,0.4151123116259918,rock avalanche,1300000.0,1090.0,400.0
38,38,9.741217652206526,0.0060128601253674,-0.4545313466266052,0.6229492835379202,0.7468812213013127,0.0448899447016633,-0.5508370065406148,0.6135592151002879,debris avalanche,370000.0,2900.0,1200.0
40,40,6.255781972746593,-0.0080437741107047,-0.2488532788513695,0.7180625131648575,0.5569507925929187,-0.0213666703254085,-0.2384408894032844,0.8126178546482085,ice avalanche,3000000.0,8000.0,2600.0
41,41,7.900987623452932,-0.003863398546944,-1.0712475851921115,0.3797136690851927,0.2905632909698292,0.0390012952649587,-1.1341606926557806,0.3841660864231005,ice avalanche,835000.0,5000.0,1700.0
46,46,9.301162645330669,-0.0004211017298041,-0.0904841410768382,0.9105278588128268,0.8016981491790836,0.0379882604889128,-0.1804230714651444,0.9239300871950192,rock avalanche,600000.0,2000.0,730.0
48,48,8.711088886110764,-0.0009684834467939,-0.2906758058823764,0.855088962540797,0.6570836884478461,-0.0016086767382548,-0.2908800940456129,0.706262057852341,ice and debris avalanche,810000.0,3700.0,1480.0
49,49,4.170521315164396,-0.0019642029149254,-0.2320857524646322,0.8505609147910485,0.8938641632693709,-0.0083594793416481,-0.2093593403073317,0.7745087116096524,ice avalanche,5600000.0,4900.0,1400.0
50,50,5.290661332666583,0.0067565314573156,-0.7898180308825041,0.4791696530156373,0.4223332072520568,0.0019293459327977,-0.7737961082292079,0.426575276621928,"rock fall, rock and ice avalanche",160000.0,3000.0,1650.0
53,53,8.231028878609827,0.0054635555190806,-0.6418246180561864,0.5326891265381543,0.4522320401283667,0.0895260997265134,-0.7570391743730637,0.5677771922605263,rock avalanche,20000000.0,2500.0,1020.0
57,57,6.405800725090637,0.0050293040577912,-0.1048490153528549,0.9584362059043012,0.6487851592011449,0.0106594176848692,-0.1134737962429964,0.8765308258000802,"rock avalanche, debris flow",3100000.0,4000.0,1370.0
60,60,8.726090761345167,0.0094095905996004,-0.7585343966258027,0.4394244261837539,0.5893087780699611,0.1789852700587229,-1.0982798911060137,0.5616024416850176,rock avalanche,3000000.0,3200.0,1700.0
62,62,9.261157644705587,0.0249885369165438,-0.7648791002078332,0.5121297237762632,0.5586734760577338,0.0926076231487311,-0.8542502276230859,0.5182557305770897,rock avalanche,22000000.0,2950.0,850.0
67,67,5.365670708838604,-0.0006803114689171,-0.6167805957656247,0.6140851761183376,0.3865185104177269,0.0256750773097921,-0.6514705120539098,0.5825857636104138,rock avalanche,30000000.0,2950.0,850.0
72,72,8.316039504938118,0.0004944448838207,-0.2409812832170344,0.7831305275985505,0.8689545869879757,0.0026028167325704,-0.2280072256903045,0.8706770806309327,rock avalanche,2100000.0,1800.0,700.0
78,78,5.040630078759845,-0.0098819316666628,-0.8504236610732006,0.4212069168341154,0.4682529579995378,-0.0255473661878152,-0.8331662975214665,0.4167207791067865,rock and ice avalanche,370000.0,2200.0,770.0
81,81,7.050881360170021,0.006010434921772,-0.4016818135573153,0.4964509491509801,0.7688316758690715,0.0382704848887089,-0.4615063924864594,0.6648608803125934,rock slide,680000.0,2000.0,1600.0
