datalocation|endtime|eventid|height|heightUncertaintyHigh|heightUncertaintyLow|length|lengthUncertaintyHigh|lengthUncertaintyLow|latitude|longitude|name|quality|starttime|type|subtype|volume|volumeUncertaintyHigh|volumeUncertaintyLow
IRIS|2009_10_11 143944|33|120.0|140.0|100.0|400.0|420.0|380.0|46.81677|-120.92045|Nile Valley western failure|4|2009_10_11 143642|rock slide|Rock/ice/debris avalanches and slides|130000.0|180000.0|99000.0
IRIS|2015_10_12 020533|43|1020.0|1120.0|800.0|2500.0|3700.0|2000.0|61.0838|-140.2257|Mount Steele|3|2015_10_12 020141|rock avalanche|Rock/ice/debris avalanches and slides|20000000.0||
IRIS, Attachments below|2005_05_15 171707|71|1400.0|1460.0|1300.0|3800.0|4400.0|3000.0|59.981|-153.06354|South Twin 7|3|2005_05_15 171141|rock avalanche|Rock/ice/debris avalanches and slides|160000.0|250000.0|110000.0
IRIS|2010_08_12 164505|131|1020.0|1050.0|950.0|2340.0|2400.0|2300.0|58.6475|-137.0812|East Crillon|4|2010_08_12 164238|rock avalanche|Rock/ice/debris avalanches and slides|1200000.0|1600000.0|860000.0
IRIS|2014_02_16 142910|18|1779.0|||7374.0|||58.56105|-137.07371|Mount La Perouse|4|2014_02_16 142444|rock and ice avalanche|Rock/ice/debris avalanches and slides|14000000.0|22000000.0|9000000.0
IRIS|2019_05_16 160606|148|1370.0|||4000.0|||50.3431|-122.4488|Mount Joffre 2|5|2019_05_16 160302|rock avalanche, debris flow|Rock/ice/debris avalanches and slides|3100000.0||
IRIS|2014_05_25 234727|13|636.0|||4590.0|||39.16495|-107.8469|West Salt Creek main|5|2014_05_25 234340|rock slide and rock avalanche|Rock/ice/debris avalanches and slides|54500000.0|67500000.0|41500000.0
IRIS, Attachments below|2004_09_10 113849|57|1750.0|||4950.0|||60.0359|-153.0789|Lateral Glacier, Iliamna|5|2004_09_10 113615|rock and ice avalanche|Rock/ice/debris avalanches and slides|5000000.0|6000000.0|4000000.0
RESIF, NIEP, ETH, GFZ, ORFEUS, LMU, BGR, IRIS, INGV|2017_08_23 073551|192|1700.0|||3200.0|||46.29552|9.6019|Piz Cengalo 2, Switzerland|5|2017_08_23 073016|rock avalanche|Rock/ice/debris avalanches and slides|3000000.0|3020000.0|2980000.0
IRIS, Attachments below|2005_05_15 155006|67|1400.0|1460.0|1300.0|3800.0|4400.0|3000.0|59.981|-153.06354|South Twin 3|3|2005_05_15 154807|rock avalanche|Rock/ice/debris avalanches and slides|42000.0|63000.0|29000.0
IRIS|2013_04_11 050738|21|850.0|950.0|700.0|2950.0|3000.0|1400.0|40.5319|-112.1488|Bingham Canyon Mine 2|5|2013_04_11 050458|rock avalanche|Rock/ice/debris avalanches and slides|22000000.0|22000000.0|17300000.0
IRIS|1980_05_18 154400|6|2550.0|||24000.0|29000.0|17000.0|46.1905|-122.1896|Mount St Helens|5|1980_05_18 153211|rock slide-debris avalanche|Rock/ice/debris avalanches and slides|2500000000.0|2800000000.0|2300000000.0
IRIS|2016_05_22 080135|75|1700.0|||8200.0|||60.0277|-153.0749|Red Glacier, Iliamna|4|2016_05_22 075734|rock and ice avalanche|Rock/ice/debris avalanches and slides|16000000.0|41000000.0|7800000.0
INGV, RESIF, ETH|2005_08_25 023804|304|1700.0|||3000.0|||45.9356|7.88|Monte Rosa, Italy|5|2005_08_25 023611|ice avalanche|Rock/ice/debris avalanches and slides|1400000.0||
IRIS|2009_08_08 222128|268|650.0|||3000.0|||23.162|120.644|Hsiaolin, Taiwan|5|2009_08_08 221616|debris avalanche, debris flow|Rock/ice/debris avalanches and slides|25000000.0|26000000.0|22000000.0
IRIS|2013_04_11 033430|20|850.0|950.0|700.0|2950.0|3000.0|1100.0|40.5319|-112.1488|Bingham Canyon Mine 1|5|2013_04_11 033024|rock avalanche|Rock/ice/debris avalanches and slides|30000000.0|36700000.0|21000000.0
IRIS|2018_10_10 141336|274|850.0|||1400.0|||31.0828|98.6982|Baige, Tibet|5|2018_10_10 140936|rock slide|Rock/ice/debris avalanches and slides|24500000.0||
IRIS, Attachments below|2003_07_25 102346|54|1940.0|||8570.0|||60.02825|-153.0787|Red Glacier, Iliamna|5|2003_07_25 102037|ice avalanche|Rock/ice/debris avalanches and slides|16000000.0|20000000.0|12000000.0
IRIS, Attachments below|2004_09_08 102001|56|880.0|||1800.0|||60.0272|-153.0867|Umbrella Glacier, Iliamna|5|2004_09_08 101903|rock and ice avalanche|Rock/ice/debris avalanches and slides|130000.0|150000.0|100000.0
